"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right"
"s25","p054",275,315,14,37
"s26","p054",365,464,12,36
"s27","p054",662,350,49,12
"s28","p054",768,374,51,16
"s29","p054",728,348,44,15
"s30","p054",428,198,24,5
"s31","p054",875,378,48,21
"s32","p054",359,247,28,9
"s33","p054",1168,480,67,22
"s34","p054",908,272,48,12
"s35","p054",674,438,37,19
"s36","p054",648,442,45,18
"s37","p054",428,563,14,37
"s38","p054",433,574,15,45
"s39","p054",419,402,19,29
"s40","p054",355,364,11,29
"s41","p054",398,603,17,51
"s42","p054",435,518,17,34
"s43","p054",413,636,8,41
"s44","p054",376,621,12,35
"s45","p054",356,617,14,46
"s46","p054",418,642,13,38
"s47","p054",239,441,8,32
"s48","p054",261,473,12,31
"s49","p054",179,313,10,29
"s50","p054",283,496,12,35
"s51","p054",254,422,7,28
"s52","p054",414,619,19,38
"s53","p054",275,363,9,19
"s54","p054",849,548,60,18
"s55","p054",772,515,46,22
"s56","p054",621,496,38,14
"s57","p054",658,446,57,19
"s58","p054",737,535,43,12
"s59","p054",565,287,51,15
"s60","p054",753,416,43,24
"s61","p054",438,210,22,3
"s62","p054",340,178,26,16
"s63","p054",690,321,37,10
"s64","p054",563,210,33,12
"s65","p054",548,278,32,14
"s66","p054",840,409,61,19
"s67","p054",680,293,48,17
"s68","p054",543,279,45,17
"s69","p054",721,270,60,22
"s70","p054",634,252,37,13
"s71","p054",528,220,50,22
"s72","p054",515,205,41,14
"s73","p054",535,262,48,13
"s74","p054",605,277,49,14
"s75","p054",420,170,24,10
"s76","p054",390,390,9,34
"s77","p054",343,442,14,39
"s78","p054",536,550,16,43
"s79","p054",271,360,13,34
"s80","p054",393,501,7,39
"s81","p054",505,591,19,38
"s82","p054",372,414,19,32
"s83","p054",503,563,16,41
"s84","p054",544,550,18,34
"s85","p054",296,475,9,30
"s86","p054",376,447,7,24
"s87","p054",451,604,12,36
"s88","p054",455,583,19,36
"s89","p054",427,515,20,29
"s90","p054",540,598,19,46
"s91","p054",304,440,14,47
"s92","p054",258,322,13,22
"s93","p054",222,306,10,34
"s94","p054",342,445,16,41
"s95","p054",287,351,5,35
"s96","p054",457,701,11,42
"s97","p054",179,219,9,24
"s98","p054",430,499,11,31
"s99","p054",193,187,11,22
"s100","p054",443,618,17,45
"s101","p054",252,298,10,31
"s102","p054",300,325,22,24
"s103","p054",262,214,22,20
"s104","p054",293,330,17,21
"s105","p054",245,240,17,12
"s106","p054",499,478,23,17
"s107","p054",228,175,22,18
"s108","p054",178,230,19,20
"s109","p054",179,208,11,16
"s110","p054",268,239,16,19
"s111","p054",227,210,25,20
"s112","p054",367,329,23,27
"s113","p054",127,111,22,19
"s114","p054",373,261,18,23
"s115","p054",309,203,18,19
"s116","p054",611,620,26,23
"s117","p054",615,464,31,34
"s118","p054",713,277,43,22
"s119","p054",221,303,6,38
"s120","p054",291,490,1,34
"s121","p054",178,382,5,43
"s122","p054",438,1063,10,83
"s123","p054",233,735,7,60
"s124","p054",196,707,3,47
"s125","p054",607,179,74,4
